Item,Mois,Montant,MonthLabel_en,StartOfMonth
Provisoire (Délai 2) / Temporary Crown,Feb 2024,3450.0,Feb 2024,2024-02-01
Complet Finition Direct (délai 1) / Full Acrylic denture,Feb 2024,1980.0,Feb 2024,2024-02-01
Finition Résine (Délai 1) / Acrylic finish,Feb 2024,3440.0,Feb 2024,2024-02-01
Réparation ou Adjonction (Délai 1),Feb 2024,2700.0,Feb 2024,2024-02-01
Stellite en Essayage (délai 1) / CCP + Wax Try in setup,Feb 2024,3240.0,Feb 2024,2024-02-01
Finition Résine (Délai 2) / Acrylic finish,Feb 2024,2450.0,Feb 2024,2024-02-01
Couronne Métallique (délai 2) / Cocr Metal crown,Feb 2024,1730.0,Feb 2024,2024-02-01
Gouttière Blanchiment (Délai 1) / Bleaching tray,Feb 2024,1435.0,Feb 2024,2024-02-01
Valplast (Délai 2) / Flibber Valplast Direct Finish,Feb 2024,1520.0,Feb 2024,2024-02-01
Supplément Cr sur implant (délai 1) / Screwed Crown,Feb 2024,2025.0,Feb 2024,2024-02-01
Valplast (Délai 1) / Flibber Valplast Direct Finish,Feb 2024,1280.0,Feb 2024,2024-02-01
Complet Transvissé Résine avec Barre Coulée CoCr / Complet Screwed Wax Try-in setup on casted CoCr Bar with Gingival Side in a BOAT HULL Form (Délai 2),Feb 2024,600.0,Feb 2024,2024-02-01
Emax stratifiée (Délai 2) / Emax Copying,Feb 2024,1210.0,Feb 2024,2024-02-01
Gouttière Bruxisme (Délai 1) / Only HARD Night guard tray,Feb 2024,3290.0,Feb 2024,2024-02-01
Complet Transvissé Résine Essayage avec Barre Titane / Complet Screwed Wax Try-in setup on TITANE bar with Gingival Side in a BOAT HULL form,Feb 2024,1400.0,Feb 2024,2024-02-01
Gouttière Contention Ortho/ Contention Tray,Feb 2024,840.0,Feb 2024,2024-02-01
Emax stratifiée (Délai 1) / Emax Copying,Feb 2024,2240.0,Feb 2024,2024-02-01
Complet Transvissé Zircone CTZ (Délai 1) / Bridge screwed retainer Full Zircone,Feb 2024,1800.0,Feb 2024,2024-02-01
MCI Pmma,Feb 2024,0.0,Feb 2024,2024-02-01
Couronne Métallique (délai 1) / Cocr Metal crown,Feb 2024,540.0,Feb 2024,2024-02-01
Essayage Complet sur barre usinée TITANE avec Locators (Barre Contre Barre) / Complet Wax Try-in with counter Bar fitting on MILLED TITANE Bar with LOCATORS (Délai 2),Feb 2024,1500.0,Feb 2024,2024-02-01
Option Maquillage Supplémentaire / Additional Shade,Feb 2024,510.0,Feb 2024,2024-02-01
Option ceramisé / Opaqued,Feb 2024,1040.0,Feb 2024,2024-02-01
Soudure,Feb 2024,1020.0,Feb 2024,2024-02-01
Rajout Dent / Tooth,Feb 2024,900.0,Feb 2024,2024-02-01
Custom Billing,Feb 2024,751.0,Feb 2024,2024-02-01
Pilier personnalisé,Feb 2024,450.0,Feb 2024,2024-02-01
Finition Résine CTR (Délai 1),Feb 2024,800.0,Feb 2024,2024-02-01
Wax Up (Délai 1) / Mock Up,Feb 2024,540.0,Feb 2024,2024-02-01
Attachement,Feb 2024,520.0,Feb 2024,2024-02-01
SSA Zircone MULTI,Feb 2024,0.0,Feb 2024,2024-02-01
Barre (fil) contention / contention wire,Feb 2024,300.0,Feb 2024,2024-02-01
PEI (délai 2) / Custom Impression Tray,Feb 2024,585.0,Feb 2024,2024-02-01
Gouttière Bruxisme SOUPLE (Délai 2) / SOFT Guard Tray,Feb 2024,0.0,Feb 2024,2024-02-01
Option Fraisé / Milled Wall,Feb 2024,80.0,Feb 2024,2024-02-01
PEI (délai 1) / Custom Impression Tray,Feb 2024,1000.0,Feb 2024,2024-02-01
Gouttières Ortho / Orthodontic Tray,Feb 2024,20.0,Feb 2024,2024-02-01
Délai Express - 1 jour + 25%,Feb 2024,537.75,Feb 2024,2024-02-01
Partiel cire essayage (délai 2) / Partial wax try in setup denture,Feb 2024,490.0,Feb 2024,2024-02-01
Cire (délai 2) / Wax Rim,Feb 2024,470.0,Feb 2024,2024-02-01
Chape guide réduction,Feb 2024,290.0,Feb 2024,2024-02-01
Cire (délai 1) / Wax Rim,Feb 2024,780.0,Feb 2024,2024-02-01
CTCCM complet transvissé CCM / COMPLET SCREWED PFM BRIDGE,Feb 2024,0.0,Feb 2024,2024-02-01
Partiel cire essayage (délai 1) / Partial wax try in setup denture,Feb 2024,570.0,Feb 2024,2024-02-01
Rebasage (Délai 1),Feb 2024,405.0,Feb 2024,2024-02-01
Essayage COMPLET Résine sur Locator / COMPLET Wax Try-in : Leave Enough Space for future male part of LOCATOR (Délai 2),Feb 2024,0.0,Feb 2024,2024-02-01
Wax Up (Délai 2) / Mock Up,Feb 2024,440.0,Feb 2024,2024-02-01
Plaque Palais / Metal Plate,Feb 2024,50.0,Feb 2024,2024-02-01
Plan traitement ortho,Feb 2024,0.0,Feb 2024,2024-02-01
Cire + Pei en un (délai 2) / All in one: Custom Tray Impression + Wax Rim,Feb 2024,175.0,Feb 2024,2024-02-01
Guide Chirurgical,Feb 2024,300.0,Feb 2024,2024-02-01
Finition Résine CTR (Délai 2),Feb 2024,0.0,Feb 2024,2024-02-01
Crochet Valplast / Valplast clasp,Feb 2024,80.0,Feb 2024,2024-02-01
Gouttière de désocclusion Délai 2 (DVO) / DISOCCLUSION TRAY,Feb 2024,0.0,Feb 2024,2024-02-01
Délai Express - 6 jours + 100%,Feb 2024,30.0,Feb 2024,2024-02-01
Gouttière de désocclusion Délai 1 (DVO) / DISOCCLUSION TRAY,Feb 2024,240.0,Feb 2024,2024-02-01
Cire + Pei en un (délai 1) / All in one: Custom Tray Impression + Wax Rim,Feb 2024,120.0,Feb 2024,2024-02-01
Rebasage MCI,Feb 2024,0.0,Feb 2024,2024-02-01
Délai Express - 2 jours + 40%,Feb 2024,96.0,Feb 2024,2024-02-01
Gouttière Bruxisme mixte (souple/dur) (Délai 2) / Hard & Soft Night Guard Tray,Feb 2024,0.0,Feb 2024,2024-02-01
Modèle Etude 3d,Feb 2024,60.0,Feb 2024,2024-02-01
Provisoire Multi (Délai 2) / Temporary Multilayer (Délai 2),Feb 2024,0.0,Feb 2024,2024-02-01
Mainteneur d'espace / Space retainer (cast ring),Feb 2024,0.0,Feb 2024,2024-02-01
Essayage COMPLET Résine sur Locator / COMPLET Wax Try-in : Leave Enough Space for future male part of LOCATOR (Délai 1),Feb 2024,0.0,Feb 2024,2024-02-01
Provisoire Multi (Délai 1) / Temporary Multilayer (Délai 1),Feb 2024,0.0,Feb 2024,2024-02-01
Option Clavette / Key Post Core,Feb 2024,150.0,Feb 2024,2024-02-01
Avis ortho,Feb 2024,60.0,Feb 2024,2024-02-01
Complet avec Plaque Métal Finition Directe (Délai 1) / Full Acrylic denture Direct Finishing WITH Metal PLATE,Feb 2024,0.0,Feb 2024,2024-02-01
Facette / Facet Veneer,Feb 2024,200.0,Feb 2024,2024-02-01
Délai Express - 4 jours + 70%,Feb 2024,203.0,Feb 2024,2024-02-01
Livraison Express,Feb 2024,90.0,Feb 2024,2024-02-01
Clef en Plâtre CTZ 1,Feb 2024,0.0,Feb 2024,2024-02-01
Délai Express - 5 jours + 85%,Feb 2024,0.0,Feb 2024,2024-02-01
SSA PMMA,Feb 2024,0.0,Feb 2024,2024-02-01
Complet avec Plaque Métal Essayage (Délai 2) / Full Acrylic denture Try In WITH Metal PLATE,Feb 2024,0.0,Feb 2024,2024-02-01
Supplément contre-plaquée,Feb 2024,40.0,Feb 2024,2024-02-01
Bridge TOBBI,Feb 2024,0.0,Feb 2024,2024-02-01
Finition Résine Complet sur implants (Délai 2),Feb 2024,0.0,Feb 2024,2024-02-01
Modèle d'étude,Feb 2024,20.0,Feb 2024,2024-02-01
Disjoncteur avec bagues (Délais 2),Feb 2024,0.0,Feb 2024,2024-02-01
Joint Céram / Porcelain butt margin,Feb 2024,60.0,Feb 2024,2024-02-01
Complet Transvissé Pmma CTP (Délai 1) / Bridge screwed retained PMMA/Temporary,Feb 2024,0.0,Feb 2024,2024-02-01
Complet Transvissé Résine (Délai 2),Feb 2024,0.0,Feb 2024,2024-02-01
PEI Projet Prothétique,Feb 2024,0.0,Feb 2024,2024-02-01
Plaque avec vérin de Hawley (Délai 2),Feb 2024,0.0,Feb 2024,2024-02-01
Design Couronne CAO W,Feb 2024,0.0,Feb 2024,2024-02-01
Cire Base dure (Délai 1),Feb 2024,25.0,Feb 2024,2024-02-01
Clef silicone (9-14 dents) / Mock Up Key,Feb 2024,60.0,Feb 2024,2024-02-01
Délai Express - 3 jours + 55%,Feb 2024,189.0,Feb 2024,2024-02-01
Finition Résine COMPLET SUR LOCATOR (Délai 1),Feb 2024,0.0,Feb 2024,2024-02-01
Arc de Nance avec bagues,Feb 2024,0.0,Feb 2024,2024-02-01
Réparation ou Adjonction (délai 2),Feb 2024,100.0,Feb 2024,2024-02-01
Cire base dure (Délai 2),Feb 2024,140.0,Feb 2024,2024-02-01
Complet avec Plaque Métal Essayage (Délai 1) / Full Acrylic denture Try In WITH Metal PLATE,Feb 2024,0.0,Feb 2024,2024-02-01
Grille de renfort,Feb 2024,0.0,Feb 2024,2024-02-01
Stellite PEEK (Délai 1) / CCP PEEK,Feb 2024,0.0,Feb 2024,2024-02-01
Céramique Gingivale / Pink Porcelain,Feb 2024,0.0,Feb 2024,2024-02-01
Clef silicone (1 a 4 dents)/ Mock Up Key,Feb 2024,0.0,Feb 2024,2024-02-01
Duplicata,Feb 2024,150.0,Feb 2024,2024-02-01
Finition Résine COMPLET SUR LOCATOR (Délai 2),Feb 2024,0.0,Feb 2024,2024-02-01
Supplément multi,Feb 2024,120.0,Feb 2024,2024-02-01
Clef silicone (5-8 dents) / Mock Up Key,Feb 2024,0.0,Feb 2024,2024-02-01
Gouttière sur Dent Pro,Feb 2024,0.0,Feb 2024,2024-02-01
Impression (Résine Spécial) Guide Chirurgical,Feb 2024,0.0,Feb 2024,2024-02-01
Rebasage (délai 2),Feb 2024,40.0,Feb 2024,2024-02-01
Chappe de réduction,Feb 2024,0.0,Feb 2024,2024-02-01
Clef validation emp. numérique,Feb 2024,0.0,Feb 2024,2024-02-01
Gouttière Blanchiment (Délai 2) / Bleaching tray,Feb 2024,0.0,Feb 2024,2024-02-01
Gouttière Bruxisme (Délai 2) / Only HARD Night guard tray,Feb 2024,0.0,Feb 2024,2024-02-01
Gouttière Provisoire,Feb 2024,0.0,Feb 2024,2024-02-01
Gouttières de Fluoration / Fluoridation Tray,Feb 2024,0.0,Feb 2024,2024-02-01
Plan de traitement suite avis Ortho,Feb 2024,0.0,Feb 2024,2024-02-01
Stellite PEEK (Délai 2) / CCP PEEK,Feb 2024,0.0,Feb 2024,2024-02-01
Plaque de Hawley (Délai 2),Feb 2024,0.0,Feb 2024,2024-02-01
Gouttière Bruxisme SOUPLE (Délai 1) / SOFT Guard Tray,Feb 2024,0.0,Feb 2024,2024-02-01
Gouttière Sport / Sport Guard Tray,Feb 2024,0.0,Feb 2024,2024-02-01
Cire Transvissée CTR 2,Feb 2024,0.0,Feb 2024,2024-02-01
Clef en platre,Feb 2024,0.0,Feb 2024,2024-02-01
Guide de positionnement rigide,Feb 2024,15.0,Feb 2024,2024-02-01
Design Pilier Perso CAO W,Feb 2024,0.0,Feb 2024,2024-02-01
Dents Supp PEEK (Délai 1) / Teeth,Feb 2024,0.0,Feb 2024,2024-02-01
Finition Résine Complet sur implants (Délai 1),Feb 2024,0.0,Feb 2024,2024-02-01
Stratification / Add porcelain,Feb 2024,0.0,Feb 2024,2024-02-01
Disjoncteur,Feb 2024,0.0,Feb 2024,2024-02-01
Fil de renfort / Rep,Feb 2024,12.0,Feb 2024,2024-02-01
Design Valplast CAO W,Feb 2024,0.0,Feb 2024,2024-02-01
Mise en articulation,Feb 2024,0.0,Feb 2024,2024-02-01
Attachement secours,Feb 2024,0.0,Feb 2024,2024-02-01
Dents Supp PEEK (Délai 2) / Teeth,Feb 2024,0.0,Feb 2024,2024-02-01
Réparation ou Adjonction (Délai 2),Feb 2024,0.0,Feb 2024,2024-02-01
Cire Transvissée CTZ 2,Feb 2024,0.0,Feb 2024,2024-02-01
Design Chassis CAO W,Feb 2024,0.0,Feb 2024,2024-02-01
Gouttière Mock Up,Feb 2024,0.0,Feb 2024,2024-02-01
Design Dents Supp CAO W,Feb 2024,0.0,Feb 2024,2024-02-01
Design Inlay Core CAO W,Feb 2024,0.0,Feb 2024,2024-02-01
Désolidarisation,Feb 2024,10.0,Feb 2024,2024-02-01
Design Sur Implant CAO W,Feb 2024,0.0,Feb 2024,2024-02-01
Design Wax Up CAO W,Feb 2024,0.0,Feb 2024,2024-02-01
Nettoyage Appareil,Feb 2024,0.0,Feb 2024,2024-02-01
MISC,Feb 2024,3282.09,Feb 2024,2024-02-01
Discount,Feb 2024,-20533.5,Feb 2024,2024-02-01
Zircone stratifié (Délai 2) / Zircone coping+porcelain,Mar,9540.0,Mar,
Céramo-métallique (délai 2) / PFM,Mar,7000.0,Mar,
Zircone Multi-couche (Délai 2) / Multilayer Dmax zircone,Mar,9945.0,Mar,
Inlay Core (Délai 2) / Post Core,Mar,8160.0,Mar,
Zircone Multi-couche (Délai 1) / Multilayer Dmax zircone,Mar,8120.0,Mar,
Zircone Stratifié (Délai 1) / Zircone coping+porcelain,Mar,5220.0,Mar,
Zircone Mono (délai 2) / Xtcera full zircone,Mar,8360.0,Mar,
Stellite Finition Direct (délai 2) / CCP + Acrylic direct finish,Mar,7260.0,Mar,
Inlay/Onlay Composite (Délai 2),Mar,8100.0,Mar,
Zircone Mono (délai 1) / Xtcera full zircone,Mar,6180.0,Mar,
Stellite Finition Direct (Délai 1) / CCP + Acrylic direct finish,Mar,5175.0,Mar,
Inlay Core (Délai 1) / Post Core,Mar,3430.0,Mar,
Partiel Résine Finition Directe (délais 2) / Partial acrylic denture,Mar,4900.0,Mar,
Céramo-métallique (délai 1) / PFM,Mar,3240.0,Mar,
Dents Supplémentaires (délai 2) / Tooth,Mar,4855.0,Mar,
Emax (Délai 2) / Emax Press,Mar,3840.0,Mar,
Partiel résine finition directe (délais 1) / Partial acrylic denture,Mar,2520.0,Mar,
Emax Onlay high translucide  HT(Délai 1),Mar,2880.0,Mar,
Complet Finition Direct (délai 2) / Full Acrylic denture,Mar,2530.0,Mar,
Inlay/Onlay composite (Délai 1),Mar,3894.0,Mar,
Emax Onlay high translucide  HT (Délai 2),Mar,2320.0,Mar,
Emax (Délai 1) / Emax Press,Mar,3880.0,Mar,
Dents supplémentaires (Délai 1) / Tooth,Mar,1744.0,Mar,
Stellite en Essayage (délai 2) / CCP + Wax Try in setup,Mar,2860.0,Mar,
Montage complet sur cire (essayage Délai 2) / Full wax try setup denture,Mar,3520.0,Mar,
Rajout Crochet,Mar,2140.0,Mar,
Provisoire (Délai 1) / Temporary Crown,Mar,1200.0,Mar,
Supplément Cr sur implant (délai 2) / Screwed Crown,Mar,2200.0,Mar,
Gouttière Bruxisme mixte (souple/dur) (Délai 1) / Hard & Soft Night Guard Tray,Mar,1200.0,Mar,
Montage Complet sur cire (essayage Délai 1) / Full wax try setup denture,Mar,1440.0,Mar,
Provisoire (Délai 2) / Temporary Crown,Mar,1875.0,Mar,
Complet Finition Direct (délai 1) / Full Acrylic denture,Mar,1540.0,Mar,
Finition Résine (Délai 1) / Acrylic finish,Mar,1600.0,Mar,
Réparation ou Adjonction (Délai 1),Mar,1410.0,Mar,
Stellite en Essayage (délai 1) / CCP + Wax Try in setup,Mar,900.0,Mar,
Finition Résine (Délai 2) / Acrylic finish,Mar,1400.0,Mar,
Couronne Métallique (délai 2) / Cocr Metal crown,Mar,1040.0,Mar,
Gouttière Blanchiment (Délai 1) / Bleaching tray,Mar,1470.0,Mar,
Valplast (Délai 2) / Flibber Valplast Direct Finish,Mar,1200.0,Mar,
Supplément Cr sur implant (délai 1) / Screwed Crown,Mar,1150.0,Mar,
Valplast (Délai 1) / Flibber Valplast Direct Finish,Mar,640.0,Mar,
Complet Transvissé Résine avec Barre Coulée CoCr / Complet Screwed Wax Try-in setup on casted CoCr Bar with Gingival Side in a BOAT HULL Form (Délai 2),Mar,0.0,Mar,
Emax stratifiée (Délai 2) / Emax Copying,Mar,550.0,Mar,
Gouttière Bruxisme (Délai 1) / Only HARD Night guard tray,Mar,1750.0,Mar,
Complet Transvissé Résine Essayage avec Barre Titane / Complet Screwed Wax Try-in setup on TITANE bar with Gingival Side in a BOAT HULL form,Mar,1400.0,Mar,
Gouttière Contention Ortho/ Contention Tray,Mar,1160.0,Mar,
Emax stratifiée (Délai 1) / Emax Copying,Mar,700.0,Mar,
Complet Transvissé Zircone CTZ (Délai 1) / Bridge screwed retainer Full Zircone,Mar,1800.0,Mar,
MCI Pmma,Mar,950.0,Mar,
Couronne Métallique (délai 1) / Cocr Metal crown,Mar,315.0,Mar,
Essayage Complet sur barre usinée TITANE avec Locators (Barre Contre Barre) / Complet Wax Try-in with counter Bar fitting on MILLED TITANE Bar with LOCATORS (Délai 2),Mar,0.0,Mar,
Option Maquillage Supplémentaire / Additional Shade,Mar,160.0,Mar,
Option ceramisé / Opaqued,Mar,410.0,Mar,
Soudure,Mar,300.0,Mar,
Rajout Dent / Tooth,Mar,420.0,Mar,
Custom Billing,Mar,230.0,Mar,
Pilier personnalisé,Mar,0.0,Mar,
Finition Résine CTR (Délai 1),Mar,800.0,Mar,
Wax Up (Délai 1) / Mock Up,Mar,465.0,Mar,
Attachement,Mar,200.0,Mar,
SSA Zircone MULTI,Mar,0.0,Mar,
Barre (fil) contention / contention wire,Mar,250.0,Mar,
PEI (délai 2) / Custom Impression Tray,Mar,330.0,Mar,
Gouttière Bruxisme SOUPLE (Délai 2) / SOFT Guard Tray,Mar,0.0,Mar,
Option Fraisé / Milled Wall,Mar,240.0,Mar,
PEI (délai 1) / Custom Impression Tray,Mar,180.0,Mar,
Gouttières Ortho / Orthodontic Tray,Mar,440.0,Mar,
Délai Express - 1 jour + 25%,Mar,161.0,Mar,
Partiel cire essayage (délai 2) / Partial wax try in setup denture,Mar,350.0,Mar,
Cire (délai 2) / Wax Rim,Mar,230.0,Mar,
Chape guide réduction,Mar,130.0,Mar,
Cire (délai 1) / Wax Rim,Mar,165.0,Mar,
CTCCM complet transvissé CCM / COMPLET SCREWED PFM BRIDGE,Mar,0.0,Mar,
Partiel cire essayage (délai 1) / Partial wax try in setup denture,Mar,0.0,Mar,
Rebasage (Délai 1),Mar,180.0,Mar,
Essayage COMPLET Résine sur Locator / COMPLET Wax Try-in : Leave Enough Space for future male part of LOCATOR (Délai 2),Mar,0.0,Mar,
Wax Up (Délai 2) / Mock Up,Mar,380.0,Mar,
Plaque Palais / Metal Plate,Mar,210.0,Mar,
Plan traitement ortho,Mar,0.0,Mar,
Cire + Pei en un (délai 2) / All in one: Custom Tray Impression + Wax Rim,Mar,200.0,Mar,
Guide Chirurgical,Mar,120.0,Mar,
Finition Résine CTR (Délai 2),Mar,0.0,Mar,
Crochet Valplast / Valplast clasp,Mar,120.0,Mar,
Gouttière de désocclusion Délai 2 (DVO) / DISOCCLUSION TRAY,Mar,0.0,Mar,
Délai Express - 6 jours + 100%,Mar,334.0,Mar,
Gouttière de désocclusion Délai 1 (DVO) / DISOCCLUSION TRAY,Mar,600.0,Mar,
Cire + Pei en un (délai 1) / All in one: Custom Tray Impression + Wax Rim,Mar,60.0,Mar,
Rebasage MCI,Mar,0.0,Mar,
Délai Express - 2 jours + 40%,Mar,68.0,Mar,
Gouttière Bruxisme mixte (souple/dur) (Délai 2) / Hard & Soft Night Guard Tray,Mar,0.0,Mar,
Modèle Etude 3d,Mar,150.0,Mar,
Provisoire Multi (Délai 2) / Temporary Multilayer (Délai 2),Mar,0.0,Mar,
Mainteneur d'espace / Space retainer (cast ring),Mar,225.0,Mar,
Essayage COMPLET Résine sur Locator / COMPLET Wax Try-in : Leave Enough Space for future male part of LOCATOR (Délai 1),Mar,0.0,Mar,
Provisoire Multi (Délai 1) / Temporary Multilayer (Délai 1),Mar,0.0,Mar,
Option Clavette / Key Post Core,Mar,100.0,Mar,
Avis ortho,Mar,0.0,Mar,
Complet avec Plaque Métal Finition Directe (Délai 1) / Full Acrylic denture Direct Finishing WITH Metal PLATE,Mar,0.0,Mar,
Facette / Facet Veneer,Mar,30.0,Mar,
Délai Express - 4 jours + 70%,Mar,115.0,Mar,
Livraison Express,Mar,90.0,Mar,
Clef en Plâtre CTZ 1,Mar,0.0,Mar,
Délai Express - 5 jours + 85%,Mar,123.0,Mar,
SSA PMMA,Mar,85.0,Mar,
Complet avec Plaque Métal Essayage (Délai 2) / Full Acrylic denture Try In WITH Metal PLATE,Mar,0.0,Mar,
Supplément contre-plaquée,Mar,25.0,Mar,
Bridge TOBBI,Mar,0.0,Mar,
Finition Résine Complet sur implants (Délai 2),Mar,0.0,Mar,
Modèle d'étude,Mar,20.0,Mar,
Disjoncteur avec bagues (Délais 2),Mar,0.0,Mar,
Joint Céram / Porcelain butt margin,Mar,0.0,Mar,
Complet Transvissé Pmma CTP (Délai 1) / Bridge screwed retained PMMA/Temporary,Mar,0.0,Mar,
Complet Transvissé Résine (Délai 2),Mar,0.0,Mar,
PEI Projet Prothétique,Mar,0.0,Mar,
Plaque avec vérin de Hawley (Délai 2),Mar,0.0,Mar,
Design Couronne CAO W,Mar,0.0,Mar,
Cire Base dure (Délai 1),Mar,25.0,Mar,
Clef silicone (9-14 dents) / Mock Up Key,Mar,60.0,Mar,
Délai Express - 3 jours + 55%,Mar,22.0,Mar,
Finition Résine COMPLET SUR LOCATOR (Délai 1),Mar,100.0,Mar,
Arc de Nance avec bagues,Mar,0.0,Mar,
Réparation ou Adjonction (délai 2),Mar,25.0,Mar,
Cire base dure (Délai 2),Mar,40.0,Mar,
Complet avec Plaque Métal Essayage (Délai 1) / Full Acrylic denture Try In WITH Metal PLATE,Mar,0.0,Mar,
Grille de renfort,Mar,0.0,Mar,
Stellite PEEK (Délai 1) / CCP PEEK,Mar,0.0,Mar,
Céramique Gingivale / Pink Porcelain,Mar,0.0,Mar,
Clef silicone (1 a 4 dents)/ Mock Up Key,Mar,20.0,Mar,
Duplicata,Mar,0.0,Mar,
Finition Résine COMPLET SUR LOCATOR (Délai 2),Mar,0.0,Mar,
Supplément multi,Mar,0.0,Mar,
Clef silicone (5-8 dents) / Mock Up Key,Mar,40.0,Mar,
Gouttière sur Dent Pro,Mar,0.0,Mar,
Impression (Résine Spécial) Guide Chirurgical,Mar,0.0,Mar,
Rebasage (délai 2),Mar,80.0,Mar,
Chappe de réduction,Mar,0.0,Mar,
Clef validation emp. numérique,Mar,0.0,Mar,
Gouttière Blanchiment (Délai 2) / Bleaching tray,Mar,0.0,Mar,
Gouttière Bruxisme (Délai 2) / Only HARD Night guard tray,Mar,0.0,Mar,
Gouttière Provisoire,Mar,0.0,Mar,
Gouttières de Fluoration / Fluoridation Tray,Mar,0.0,Mar,
Plan de traitement suite avis Ortho,Mar,0.0,Mar,
Stellite PEEK (Délai 2) / CCP PEEK,Mar,0.0,Mar,
Plaque de Hawley (Délai 2),Mar,0.0,Mar,
Gouttière Bruxisme SOUPLE (Délai 1) / SOFT Guard Tray,Mar,0.0,Mar,
Gouttière Sport / Sport Guard Tray,Mar,0.0,Mar,
Cire Transvissée CTR 2,Mar,45.0,Mar,
Clef en platre,Mar,0.0,Mar,
Guide de positionnement rigide,Mar,12.0,Mar,
Design Pilier Perso CAO W,Mar,0.0,Mar,
Dents Supp PEEK (Délai 1) / Teeth,Mar,0.0,Mar,
Finition Résine Complet sur implants (Délai 1),Mar,0.0,Mar,
Stratification / Add porcelain,Mar,0.0,Mar,
Disjoncteur,Mar,0.0,Mar,
Fil de renfort / Rep,Mar,6.0,Mar,
Design Valplast CAO W,Mar,0.0,Mar,
Mise en articulation,Mar,0.0,Mar,
Attachement secours,Mar,0.0,Mar,
Dents Supp PEEK (Délai 2) / Teeth,Mar,0.0,Mar,
Réparation ou Adjonction (Délai 2),Mar,0.0,Mar,
Cire Transvissée CTZ 2,Mar,0.0,Mar,
Design Chassis CAO W,Mar,0.0,Mar,
Gouttière Mock Up,Mar,0.0,Mar,
Design Dents Supp CAO W,Mar,0.0,Mar,
Design Inlay Core CAO W,Mar,0.0,Mar,
Désolidarisation,Mar,0.0,Mar,
Design Sur Implant CAO W,Mar,0.0,Mar,
Design Wax Up CAO W,Mar,0.0,Mar,
Nettoyage Appareil,Mar,0.0,Mar,
MISC,Mar,-6822.93,Mar,
Discount,Mar,-13805.5,Mar,
Zircone stratifié (Délai 2) / Zircone coping+porcelain,Apr,18000.0,Apr,
Céramo-métallique (délai 2) / PFM,Apr,12250.0,Apr,
